usage_id,usage_minutes,performance_score,feedback_rating,tools_id,class_id,student_id,class_grade,class_topic,class_semester,class_section,tools_used,tools_category,student_gender,student_nationality,student_absent_days
55,53,64,4.5,55,56,55,G-08,Math,Fall,B,Nearpod,Assessment,M,USA,Above-7
56,11,60,3.6,56,57,56,G-07,Math,Fall,A,Kahoot,Engagement,M,KW,Below-7
57,25,60,3.6,57,58,57,G-02,IT,Fall,B,Kahoot,Engagement,M,KW,Above-7
58,43,60,3.2,58,59,58,G-02,IT,Fall,B,Google Classroom,LMS,F,KW,Above-7
59,109,69,3.7,59,60,59,G-02,IT,Fall,B,Google Classroom,LMS,M,KW,Above-7
60,22,60,4.0,60,61,60,G-08,Spanish,Spring,B,Nearpod,Assessment,M,KW,Below-7
61,110,61,3.1,61,62,61,G-04,Science,Spring,A,Nearpod,Assessment,M,Jordan,Above-7
62,16,69,4.0,62,63,62,G-07,Biology,Spring,A,Google Classroom,LMS,M,Jordan,Above-7
63,113,64,3.2,63,64,63,G-08,Chemistry,Fall,A,Google Classroom,LMS,F,Jordan,Above-7
64,66,65,4.5,64,65,64,G-08,Chemistry,Spring,A,Nearpod,Assessment,F,Jordan,Above-7
65,70,67,4.8,65,66,65,G-07,Math,Fall,A,Nearpod,Assessment,M,KW,Above-7
66,54,66,3.0,66,67,66,G-05,English,Fall,A,Google Classroom,LMS,M,KW,Above-7
67,46,64,4.3,67,68,67,G-12,English,Fall,A,Nearpod,Assessment,M,KW,Above-7
68,112,61,4.9,68,69,68,G-11,Quran,Fall,A,Google Classroom,LMS,M,KW,Above-7
69,114,63,3.9,69,70,69,G-02,IT,Fall,A,Kahoot,Engagement,M,KW,Above-7
70,81,61,4.4,70,71,70,G-02,IT,Fall,B,Nearpod,Assessment,M,KW,Above-7
71,86,65,4.0,71,72,71,G-02,French,Spring,B,Nearpod,Assessment,M,Jordan,Above-7
72,109,68,3.2,72,73,72,G-08,Arabic,Spring,B,Kahoot,Engagement,M,Morocco,Above-7
73,5,62,3.3,73,74,73,G-08,Spanish,Spring,C,Google Classroom,LMS,M,KW,Above-7
74,41,67,4.0,74,75,74,G-08,Spanish,Spring,A,Nearpod,Assessment,M,KW,Above-7
75,62,62,4.3,75,76,75,G-07,Science,Spring,B,Google Classroom,LMS,M,KW,Above-7
76,113,63,4.1,76,77,76,G-02,Arabic,Fall,B,Google Classroom,LMS,M,Jordan,Above-7
77,23,69,3.4,77,78,77,G-02,Arabic,Spring,B,Kahoot,Engagement,M,Jordan,Above-7
78,8,69,3.1,78,79,78,G-07,IT,Fall,B,Nearpod,Assessment,M,KW,Above-7
79,114,65,4.9,79,80,79,G-07,Science,Fall,B,Kahoot,Engagement,M,KW,Above-7
80,8,67,4.1,80,81,80,G-02,IT,Fall,B,Nearpod,Assessment,M,KW,Above-7
81,103,65,4.1,81,82,81,G-08,Arabic,Spring,A,Nearpod,Assessment,M,KW,Below-7
82,6,69,3.0,82,83,82,G-08,Arabic,Spring,A,Nearpod,Assessment,M,KW,Above-7
83,93,68,3.3,83,84,83,G-02,Arabic,Fall,A,Kahoot,Engagement,F,Jordan,Above-7
84,66,66,4.9,84,85,84,G-02,Arabic,Spring,A,Kahoot,Engagement,F,Jordan,Above-7
85,83,61,3.8,85,86,85,G-02,Arabic,Fall,B,Kahoot,Engagement,M,Jordan,Above-7
86,78,64,4.0,86,87,86,G-08,Chemistry,Spring,A,Google Classroom,LMS,F,Jordan,Above-7
87,94,67,3.6,87,88,87,G-04,IT,Fall,A,Nearpod,Assessment,M,KW,Above-7
88,71,69,3.5,88,89,88,G-07,IT,Fall,A,Kahoot,Engagement,F,KW,Above-7
89,81,62,4.5,89,90,89,G-07,English,Fall,A,Kahoot,Engagement,M,KW,Above-7
90,34,67,3.4,90,91,90,G-02,IT,Fall,B,Google Classroom,LMS,M,KW,Above-7
91,35,64,4.5,91,92,91,G-02,IT,Fall,B,Google Classroom,LMS,M,KW,Above-7
92,98,63,4.2,92,93,92,G-02,IT,Spring,A,Kahoot,Engagement,M,KW,Above-7
93,118,65,4.7,93,94,93,G-08,Arabic,Spring,B,Kahoot,Engagement,M,Jordan,Above-7
94,69,66,4.7,94,95,94,G-04,Science,Fall,A,Nearpod,Assessment,M,Jordan,Above-7
95,48,68,3.1,95,96,95,G-02,French,Spring,A,Google Classroom,LMS,M,Jordan,Above-7
96,11,60,4.3,96,97,96,G-02,French,Fall,B,Google Classroom,LMS,M,Lybia,Above-7
97,104,62,4.9,97,98,97,G-02,French,Spring,B,Google Classroom,LMS,M,Lybia,Above-7
98,106,66,3.7,98,99,98,G-02,Arabic,Fall,B,Google Classroom,LMS,M,Jordan,Above-7
99,71,69,3.9,99,100,99,G-02,Arabic,Spring,B,Nearpod,Assessment,M,Jordan,Above-7
100,73,65,4.2,100,101,100,G-07,Biology,Fall,A,Google Classroom,LMS,M,Jordan,Above-7
